bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
3.70000000000000000e+02,3.75000000000000000e+02,1.97982374535903993e+01,4.95597208130132971e-01,1.44588175631828122e+01,2.79696307157737927e+01
3.75000000000000000e+02,3.80000000000000000e+02,1.98722824506918059e+01,4.87222808138228936e-01,1.45056988371493549e+01,2.80902210796781233e+01
3.80000000000000000e+02,3.85000000000000000e+02,1.71944933192018787e+01,4.35084403171701606e-01,1.25363053793733616e+01,2.43394138499322423e+01
3.85000000000000000e+02,3.90000000000000000e+02,1.63130222975925641e+01,4.13276388850871645e-01,1.18890839206232108e+01,2.31012183441881866e+01
3.90000000000000000e+02,3.95000000000000000e+02,1.59804414620275441e+01,3.98023052454610227e-01,1.16460271210718300e+01,2.26331608355499085e+01
3.95000000000000000e+02,4.00000000000000000e+02,1.55461997699443160e+01,3.86656717308940356e-01,1.13251257736765378e+01,2.20279815575581459e+01
4.00000000000000000e+02,4.05000000000000000e+02,1.35537785529599883e+01,3.49516446237708167e-01,9.86415352467964723e+00,1.92267573083575094e+01
4.05000000000000000e+02,4.10000000000000000e+02,1.31354839150120455e+01,3.31772991689080088e-01,9.54966789076248368e+00,1.86558901308123737e+01
4.10000000000000000e+02,4.15000000000000000e+02,1.25980302509936823e+01,3.17426154698988161e-01,9.15997435339683186e+00,1.78905766977789149e+01
4.15000000000000000e+02,4.20000000000000000e+02,1.16181312082017367e+01,2.96333772163420828e-01,8.43604092132440897e+00,1.65248933949515795e+01
4.20000000000000000e+02,4.25000000000000000e+02,9.88934838823119300e+00,2.64180386978924153e-01,7.17352149793120475e+00,1.40836514264289505e+01
4.25000000000000000e+02,4.30000000000000000e+02,9.94940966761019752e+00,2.60592996941361565e-01,7.22112171369264289e+00,1.41608026783544751e+01
4.30000000000000000e+02,4.35000000000000000e+02,9.39966481354496608e+00,2.44285350828907788e-01,6.81336914099789581e+00,1.33980236910154087e+01
4.35000000000000000e+02,4.40000000000000000e+02,8.48231855399616563e+00,2.28010499903119029e-01,6.14339580022679499e+00,1.21014994917790641e+01
4.40000000000000000e+02,4.45000000000000000e+02,8.43163637272385458e+00,2.21644053981064043e-01,6.10826224465837431e+00,1.20266667045495392e+01
4.45000000000000000e+02,4.50000000000000000e+02,7.62250946691817166e+00,2.03638939068302105e-01,5.51820152302976741e+00,1.08815855083928810e+01
4.50000000000000000e+02,4.55000000000000000e+02,6.93982006811708185e+00,1.90419434276551225e-01,5.02532232782598154e+00,9.90468376830308550e+00
4.55000000000000000e+02,4.60000000000000000e+02,6.38446765774430602e+00,1.74901274281422603e-01,4.61135995633126416e+00,9.13828877641510573e+00
4.60000000000000000e+02,4.65000000000000000e+02,6.39309688839901469e+00,1.73166206446038390e-01,4.61847975612052242e+00,9.14872879197221955e+00
4.65000000000000000e+02,4.70000000000000000e+02,6.04807728909740305e+00,1.64649667951848516e-01,4.36882922567895982e+00,8.65607072002756794e+00
4.70000000000000000e+02,4.75000000000000000e+02,5.43324114267818992e+00,1.49490428599110547e-01,3.91866412102432538e+00,7.79034000724809239e+00
4.75000000000000000e+02,4.80000000000000000e+02,5.08402981065334281e+00,1.42905782138696591e-01,3.66818406516735118e+00,7.28644345214750544e+00
4.80000000000000000e+02,4.85000000000000000e+02,4.69900084718659361e+00,1.33035056668956181e-01,3.38817988482479260e+00,6.74011568209328704e+00
4.85000000000000000e+02,4.90000000000000000e+02,4.84785531093631228e+00,1.33158498486161236e-01,3.49505419727219335e+00,6.95457744937504430e+00
4.90000000000000000e+02,4.95000000000000000e+02,4.35749936565615403e+00,1.23272825301620134e-01,3.14040194360123337e+00,6.25396510649436355e+00
4.95000000000000000e+02,5.00000000000000000e+02,4.09914215035566976e+00,1.15581091192790766e-01,2.95116913905104372e+00,5.88997480161139464e+00
